Year,Production
1950,7657
1951,5451
1952,10883
1953,9554
1954,9519
1955,10047
1956,10663
1957,10864
1958,11447
1959,12710
1960,15169
1961,16205
1962,14507
1963,15400
1964,16800
1965,19000
1966,20198
1967,18573
1968,19375
1969,21032
1970,23250
1971,25219
1972,28549
1973,29759
1974,28262
1975,28506
1976,33885
1977,34776
1978,35347
1979,34628
1980,33043
1981,30214
1982,31013
1983,31496
1984,34115
1985,33433
1986,34198
1987,35863
1988,37789
1989,34561
1990,36434
1991,34371
1992,33307
1993,33295
1994,36514
1995,36593
1996,38311
1997,42773